sigma,beta1_deg,i0_10_deg
0.4,0.458,0.03922
0.4,6.107,0.2092
0.4,12.98,0.4314
0.4,18.32,0.6405
0.4,23.36,0.7843
0.4,29.01,0.9804
0.4,35.88,1.176
0.4,41.22,1.346
0.4,47.48,1.516
0.4,54.66,1.699
0.4,62.14,1.856
0.4,66.56,1.961
0.4,69.31,1.987
0.6,0.7634,0.05229
0.6,5.191,0.2484
0.6,10.38,0.549
0.6,16.79,0.8758
0.6,24.12,1.229
0.6,34.5,1.686
0.6,47.02,2.222
0.6,57.25,2.641
0.6,64.43,2.902
0.6,66.87,2.967
0.6,69.16,2.993
0.8,0.3053,0.02614
0.8,6.87,0.4837
0.8,14.2,0.9412
0.8,21.98,1.425
0.8,28.7,1.843
0.8,33.44,2.157
0.8,37.56,2.418
0.8,42.14,2.719
0.8,46.72,2.98
0.8,52.21,3.281
0.8,56.64,3.516
0.8,61.53,3.752
0.8,66.26,3.948
0.8,69.47,4.065
1.2,0.458,0.03922
1.2,12.98,1.268
1.2,23.51,2.261
1.2,30.99,2.967
1.2,38.02,3.608
1.2,44.12,4.157
1.2,48.09,4.562
1.2,51.76,4.889
1.2,55.73,5.255
1.2,60.76,5.66
1.2,64.43,5.895
1.2,66.56,6.013
1.2,68.7,6.078
1.4,0,0.05229
1.4,10.38,1.176
1.4,17.86,2.039
1.4,25.95,2.928
1.4,34.96,3.948
1.4,45.19,5.046
1.4,52.52,5.817
1.4,57.1,6.261
1.4,61.98,6.654
1.4,65.95,6.954
1.4,69.31,7.163
1.8,0.458,0.03922
1.8,11.15,1.673
1.8,20.61,3.033
1.8,30.23,4.327
1.8,39.08,5.556
1.8,45.95,6.549
1.8,54.66,7.725
1.8,59.54,8.327
1.8,63.82,8.758
1.8,66.87,9.007
1.8,69.31,9.137
2,0.3053,0.01307
2,8.702,1.516
2,25.65,4.17
2,33.13,5.294
2,41.68,6.667
2,49.31,7.843
2,55.73,8.824
2,62.6,9.712
2,65.19,9.961
